company_name,title,location,job_types,tags,is_remote
audibene GmbH,Ausbildung Hörakustik in Berlin- Lichtenrade,Berlin,['Apprenticeship'],['Customer Service'],False
Pertemps ERP,SAP HCM Consultants (German Payroll),Frankfurt,['professional / experienced'],"['Remote', 'Business Consulting']",True
Nord-Ostsee-Automobile SE & Co. KG,Marketeer (m/w/d),Hamburg,[],['Marketing and Communication'],False
audibene GmbH,Quereinstieg Hörakustik in Darmstadt,Darmstadt,[],['Customer Service'],False
audibene GmbH,Teamassistenz Hörakustik in Darmstadt,Darmstadt,[],['Customer Service'],False
We Love X GmbH,SEO Content Manager (m/w/d) – Deutschsprachig,Berlin,['professional / experienced'],"['Remote', 'Marketing and Communication']",True
EMIL Group GmbH,Recruiter (w/m/d),Berlin,['berufserfahren'],['HR'],False
MY Humancapital GmbH,Qualitätsingenieur / Quality Assurance Engineer (m/w/d) in Bonn,Bonn,[],['Quality Management'],False
univativ GmbH,Konstrukteur (m/w/d),Neustadt an der Donau,[],['Engineering'],False
univativ GmbH,Testingenieur (m/w/d) Softwaretesting & Automatisierung,Mannheim,[],['IT'],False
audibene GmbH,Ausbildung Hörakustik in Berlin- Lichtenrade,Berlin,['Apprenticeship'],['Customer Service'],False
Pertemps ERP,SAP HCM Consultants (German Payroll),Frankfurt,['professional / experienced'],"['Remote', 'Business Consulting']",True
MARAWE GmbH & Co. KG,Fachkraft für Marketing & Kommunikation (m/w/d),Regensburg,[],['Marketing and Communication'],False
Patronus,Webdesigner Webflow (m/w/d) - Berlin,Berlin,[],['Graphic Arts and Communication Design'],False
leadity GmbH,"Senior Fullstack Developer - B2B SaaS (gn) - Hamburg, Münster",Hamburg,[],['Software Development'],False
OVAL GERMANY GMBH,Open Application – Creation,Berlin,['berufserfahren'],['Graphic Arts and Communication Design'],False
Schnittenliebe,E-Commerce und Ads Manager*in für DIY-Onlineshop Start-up,Günzburg,[],"['Remote', 'Online Marketing']",True
Lionment GmbH - Career,(Junior) Consultant (m/w/d),Hamburg,[],['Business Consulting'],False
TaTeeTaTa,MediengestalterIn oder KommunikationsdesignerIn (Minijob oder Teilzeit),Inzell,['berufserfahren'],['Graphic Arts and Communication Design'],False
KENJO,Customer Operations Working Student / Intern (f/m/d),Berlin,['Working student'],['Customer Service'],False
DTAD GmbH,Fullstack Entwickler (m/w/d),Berlin,[],['Software Development'],False
Dr. Heilmaier & Partner GmbH,Verwaltungsassistenz (m/w/d),Krefeld,[],['Finance'],False
Allegro Packets GmbH,Application Engineer (m/w/d),Leipzig,['berufserfahren'],['Helpdesk'],False
Glückliche Gäste GmbH,Systemadministrator (m/w/d),Hechingen,[],"['Remote', 'IT Security']",True
univativ GmbH,Software Quality Engineer (m/w/d) Automotive,Affalterbach,[],['IT'],False
RBX GmbH,Werkstudent*in HR/Personal (m/w/d),Hamburg,"['Working student', 'hilfstätigkeit / student']",['HR'],False
much. GmbH,Senior Sales ERP Consultant (m/w/d),Munich,['berufserfahren'],['Business Consulting'],False
Thommel I&H GmbH,IT-Mitarbeiter/Betreuer (m/w/d),Ravensburg,[],['IT'],False
much. GmbH,Senior Solutions ERP Consultant (m/w/d),Munich,['berufserfahren'],['Business Consulting'],False
univativ GmbH,IT-Supporter (m/w/d) im Service Desk Vollzeit oder Teilzeit / (Werkstudenten),Hünfeld,[],['IT'],False
much. GmbH,Sales ERP Consultant (m/w/d),Munich,['berufserfahren'],['Business Consulting'],False
much. GmbH,Solutions ERP Consultant (m/w/d),Munich,['berufserfahren'],['Business Consulting'],False
ivl Informationsverarbeitung Leverkusen  GmbH,IT-Systemadministrator:in Automatisierung / DevOps (m/w/d),Leverkusen,['berufserfahren'],['System and Network Administration'],False
univativ GmbH,Eventmanager (m/w/d),Stuttgart,[],['Marketing and Communication'],False
G&S IT Group GmbH,Software-Tester Qualitätssicherung (m/w/d),Osnabrück,[],['IT'],False
univativ GmbH,Finanzbuchhalter (m/w/d) Wirtschaftsprüfung,Leipzig,[],['Finance'],False
SNS Connect GmbH,Junior Consultant in der Informationssicherheit (m/w/d),Darmstadt,[],['IT Security'],False
acoris AG,System Architect (m/w/d),Darmstadt,[],['Information Systems'],False
Adsmasters GmbH,Freelance Videograf & Video-Editor (m/w/d) für Social Media,Düsseldorf,['Freelance'],"['Media', 'Screen and Web Design']",False
Paymentology,Account Manager,Berlin,['Full time'],['Remote'],True
Sportstech Brands Holding GmbH,HR Manager (m/w/d),Berlin,[],"['Management', 'Team Leader']",False
SkySails Power GmbH,Testingenieur (m/w/d) Höhenwindenergieanlage,Hamburg,[],['Engineering'],False
Enloc,Projektmanager in der Energiewirtschaft (m/w/d),Dresden,[],['Project Management'],False
Factorial,Sales Account Executive DACH Markt (Köln),Cologne,[],"['Management', 'Team Leader']",False
Taxtalente.de,"Steuerberater (m/w/d) in Bonn, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Bonn,[],"['Directors', 'Chief Executives']",False
minimi,Ich (w/m/x) Jura (Legal Tech) im Home Office,Berlin,['Working student'],"['Remote', 'Software Development']",True
Valorbyte UG (haftungsbeschränkt),Designer & Illustrator (2D Game Art),Karlsruhe,[],"['Remote', 'Media', 'Screen and Web Design']",True
QTalents - Real Estate Recruiting,(Senior) Technische*r Property Manager*in (m/w/d) für eine neue Niederlassung - bis ca. 75.000 € Jahresgehalt,Berlin,[],['Engineering'],False
EFactory,Tech-Co-Founder (m/w/d),Osnabrück,['berufserfahren'],"['Remote', 'Consulting', 'Engineering']",True
kiresult,Backend Developer - Full-Time (all genders),Bonn,[],"['Remote', 'IT']",True
Move + Smile Immobilienentwicklung und Beratungsgesellschaft GmbH,Teamassistenz / kaufm. Mitarbeiter (w/m/d),Ditzingen,['berufserfahren'],['Finance'],False
Leanio GmbH,C# Entwickler (m/w/d),Passau,[],['Software Development'],False
Leanio GmbH,Softwareentwickler C# (m/w/d),Passau,[],['Software Development'],False
Papero,Co-Founder: Marketing & Sales,Lippstadt,['geschäftsleitung'],"['Remote', 'Social Media Manager']",True
b.sonders GmbH,Designer (w/m/d) Geschenkartikel & Print,Erkrath,[],['Graphic Arts and Communication Design'],False
nuuEnergy GmbH,Head of Product,Munich,[],['Engineering'],False
MicroHarvest GmbH,Content Creator,Hamburg,['Working student'],['Marketing and Communication'],False
B2C Fintech,Founding Head of Marketing/Growth (German speaking),Berlin,['geschäftsleitung'],['Marketing Manager'],False
Schwape GmbH,DevOps Intern (f/m/d),Potsdam,['entry'],['Software Development'],False
Amperecloud GmbH,Customer Success Manager (m/w/d),Berlin,['berufserfahren'],['Customer Service'],False
ITconfig/all GmbH,IT-Systemadministrator (m/w/d) - 1381,Korntal-Münchingen,['berufseinstieg'],['System and Network Administration'],False
L1VE GmbH,Head of Brand Partnerships (International) (m/f/d),Berlin,[],['Business Development'],False
hellomateo,Controller (m/w/d) - Software Startup,Berlin,['berufserfahren'],['Controlling'],False
Longevity Partner GmbH,Working Student - Operations Longevity Conference (m/f/x),Berlin,['Working student'],['Marketing and Communication'],False
ju:niz Energy GmbH,Teamlead (m/w/d) Co-Development & M&A – Energy Storage Projects,Munich,['berufserfahren'],['Project Management'],False
